Rotation Data (1D Kymograph Signal [radians vs time]),
1mM/1mM_leu1m_1.tif,
20170413 17:11:32.860,
,
time (ms),cell0,
5499.0,304.464695312
5516.0,289.727411066
5533.0,282.712405549
5550.0,223.890155137
5567.0,305.686089489
5584.0,308.993570734
5601.0,292.375651354
5617.0,297.099059342
5634.0,213.626613013
5651.0,300.336611794
5668.0,310.910879989
5685.0,311.912951428
5702.0,311.762414331
5719.0,310.638896552
5736.0,311.185389794
5753.0,308.554857933
5770.0,311.953730619
5787.0,309.852690845
5804.0,275.182638037
5820.0,220.073497258
5837.0,302.754364201
5854.0,306.381506375
5871.0,287.167851139
5888.0,278.697500017
5905.0,306.227450074
5922.0,311.050484586
5939.0,311.802553947
5956.0,311.004212717
5973.0,307.644204496
5990.0,288.970469744
6007.0,262.174558678
6024.0,243.061825868
6040.0,287.895577639
6057.0,305.489046646
6074.0,241.059386067
6091.0,157.856859993
6108.0,304.470814567
6125.0,310.726560527
6142.0,303.734234711
6159.0,301.245229312
6176.0,239.188026293
6193.0,311.413307727
6210.0,310.539969699
6227.0,311.80984282
6244.0,311.231298328
6260.0,309.88128054
6277.0,264.27133295
6294.0,198.57893706
6311.0,172.793823909
6328.0,307.710169039
6345.0,310.966633104
6362.0,295.520101707
6379.0,242.227472191
6396.0,307.677788498
6413.0,310.523063592
6430.0,311.002545207
6447.0,311.640253207
6463.0,310.823733202
6480.0,310.617039428
6497.0,310.365598677
6514.0,310.974261252
6531.0,286.314278847
6548.0,296.495428778
6565.0,309.304135794
6582.0,311.553437096
6599.0,311.601556615
6616.0,309.696325361
6633.0,299.750724762
6650.0,279.121809199
6667.0,215.316773545
6683.0,293.894391366
6700.0,302.472022891
6717.0,252.688245431
6734.0,291.400531096
6751.0,288.65751537
6768.0,310.746049465
6785.0,310.475962025
6802.0,311.316752054
6819.0,310.162964627
6836.0,309.466528574
6853.0,307.156745572
6870.0,283.38266435
6887.0,188.274524808
6903.0,158.94098167
6920.0,302.244864392
6937.0,304.455303224
6954.0,311.630324934
6971.0,310.776190323
6988.0,305.337699154
7005.0,305.684427708
7022.0,284.362797249
7039.0,271.459477939
7056.0,309.659764288
7073.0,310.46116597
7090.0,311.474365654
7107.0,311.902426389
7123.0,309.942961132
7140.0,304.431283381
7157.0,301.075494784
7174.0,297.559643541
7191.0,283.55475632
7208.0,289.830070009
7225.0,208.393415738
7242.0,254.720965197
7259.0,308.351204655
7276.0,309.975408986
7293.0,303.105071062
7310.0,295.222273534
7326.0,261.339812978
7343.0,310.971738669
7360.0,310.706891916
7377.0,311.721018106
7394.0,311.360347856
7411.0,311.019901239
7428.0,310.555088444
7445.0,307.905399096
7462.0,309.774293771
7479.0,308.997872513
7496.0,280.531632346
7513.0,185.118918793
7530.0,302.073774472
7546.0,309.97166905
7563.0,284.97177832
7580.0,270.611705631
7597.0,279.287540798
7614.0,310.372017333
7631.0,311.366697593
7648.0,309.345682315
7665.0,296.141985118
7682.0,308.746239011
7699.0,310.040665153
7716.0,311.166363953
7733.0,309.140621429
7750.0,311.667185059
7766.0,308.910598173
7783.0,278.978058738
7800.0,270.840992675
7817.0,272.599389533
7834.0,294.223517908
7851.0,250.291582759
7868.0,283.401945778
7885.0,310.619886407
7902.0,310.466654432
7919.0,308.67915341
7936.0,310.135598398
7953.0,308.516730401
7970.0,283.828592373
7986.0,228.765807511
8003.0,296.183763378
8020.0,309.135811122
8037.0,308.574887723
8054.0,239.771912295
8071.0,305.31070369
8088.0,310.351131149
8105.0,305.119149648
8122.0,308.84816536
8139.0,229.157356337
8156.0,286.74579705
8173.0,309.681422468
8189.0,310.158153736
8206.0,264.596075003
8223.0,290.02840267
8240.0,308.313941287
8257.0,311.495014524
8274.0,310.821512749
8291.0,304.137648808
8308.0,269.601846157
8325.0,219.312296391
8342.0,304.801147844
8359.0,303.566380141
8376.0,248.887212109
8393.0,278.644825681
8409.0,309.858091302
8426.0,311.443200397
8443.0,311.245381092
8460.0,308.610542271
8477.0,263.440946541
8494.0,251.430251889
8511.0,252.946445224
8528.0,256.966155997
8545.0,282.571744047
8562.0,257.966273943
8579.0,305.840428599
8596.0,309.425040135
8613.0,312.085864904
8629.0,310.834602286
8646.0,303.902220779
8663.0,265.181887726
8680.0,208.365908901
8697.0,295.264768044
8714.0,285.209825631
8731.0,223.211229651
8748.0,249.871837553
8765.0,310.762723672
8782.0,310.327421898
8799.0,311.027041921
8816.0,311.028445053
8833.0,310.994266208
8849.0,307.871054481
8866.0,306.098987142
8883.0,309.459629161
8900.0,310.343937731
8917.0,302.384551131
8934.0,300.554972504
8951.0,271.222496549
8968.0,308.757695177
8985.0,310.497080021
9002.0,311.577454719
9019.0,306.531084408
9036.0,260.863891738
9052.0,185.1312239
9069.0,284.867868135
9086.0,297.764352687
9103.0,245.792878206
9120.0,217.776123833
9137.0,308.321547743
9154.0,310.224522765
9171.0,311.337999394
9188.0,309.664444712
9205.0,307.09440995
9222.0,264.168229858
9239.0,258.564983101
9256.0,273.877983067
9272.0,296.956886484
9289.0,240.370597278
9306.0,226.822930419
9323.0,237.114780924
9340.0,310.863879891
9357.0,311.201278022
9374.0,311.508728327
9391.0,307.456506732
9408.0,252.454955675
9425.0,213.354445689
9442.0,236.305606614
9459.0,304.412253939
9476.0,303.365620254
9492.0,266.04543483
9509.0,268.669201427
9526.0,310.200046563
9543.0,311.113841527
9560.0,312.05298511
9577.0,310.606523183
9594.0,307.300983895
9611.0,257.339093154
9628.0,193.343245365
9645.0,216.022958282
9662.0,306.75208885
9679.0,298.59902997
9695.0,270.867412113
9712.0,272.153828979
9729.0,310.735748733
9746.0,311.194814675
9763.0,311.468874724
9780.0,309.906514822
9797.0,282.916187699
